oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
778116100012244,45016997,2458204.667957691,58204.169976900000,18.7163315,0.0471681617,0,zg,55.197382500000000,57.955933700000000,0.944000006,3.62199998,20180327169965,778,16,1,18.8700008,26.2033596,0.0533352308,-0.123697393,8.569216152E-05,3.0000000000e+01,1.59399998,1
778116100012244,45216574,2458206.663582557,58206.165740700000,19.4512749,0.0730347037,0,zg,55.197340900000000,57.955882300000000,1.174999952,-0.28500000,20180329165718,778,16,1,19.4699993,26.1467247,0.0479725264,-0.100937404,2.962859799E-05,3.0000000000e+01,1.60300004,1
778116100012244,55046917,2458304.965542878,58304.469178200000,19.5038528,0.0754666477,0,zg,55.197451800000000,57.955826400000000,0.966000021,-0.06900000,20180705469167,778,16,1,20.1800003,26.0918388,0.0357467681,-0.084672004,1.313190114E-05,3.0000000000e+01,2.03200006,1
778116100012244,55146767,2458305.964083907,58305.467673600000,19.7102642,0.0858612210,0,zg,55.197336900000000,57.955684400000000,0.765999973,0.01500000,20180706467662,778,16,1,20.1700001,26.0342960,0.0382533073,-0.096847735,1.490624891E-05,3.0000000000e+01,2.01699996,1
778116100012244,55347009,2458307.966597598,58307.470092600000,19.7798138,0.0896719620,0,zg,55.197526300000000,57.955841500000000,1.087000012,-0.07500000,20180708470081,778,16,1,20.6299992,25.8580379,0.0301405508,-0.043870315,8.952459211E-06,3.0000000000e+01,1.92499995,1
778116100012244,55848292,2458312.979688295,58312.482928200000,19.5118198,0.0758426785,0,zg,55.197581100000000,57.955841000000000,0.686999977,0.04700000,20180713482917,778,16,1,20.3899994,25.9687233,0.0327216536,-0.035199616,1.066762343E-05,3.0000000000e+01,1.67299998,1
778116100012244,56542982,2458319.926979641,58319.429826400000,19.5751610,0.0789036825,0,zg,55.197583600000000,57.955863600000000,0.580999970,0.08100000,20180720429815,778,16,1,21.0599995,26.0042610,0.0268637743,-0.032057494,7.456289040E-06,3.0000000000e+01,2.01600003,1
778116100012244,56646814,2458320.965363781,58320.468148100000,19.5809383,0.0791892558,0,zg,55.197642700000000,57.955842300000000,1.018000007,0.08900000,20180721468125,778,16,1,20.7299995,25.4811878,0.0427268893,-0.056719001,1.875388079E-05,3.0000000000e+01,1.61800003,1
778116100012244,56744881,2458321.946094843,58321.448819400000,19.4975548,0.0751707926,0,zg,55.197579200000000,57.955825500000000,1.078999996,-0.05200000,20180722448808,778,16,1,21.2199993,26.0656872,0.0264652725,-0.034879047,7.143151834E-06,3.0000000000e+01,1.75600004,1
778116100012244,56846981,2458322.967153315,58322.469814800000,19.5808010,0.0791824684,0,zg,55.197585800000000,57.955817200000000,0.632000029,0.01700000,20180723469792,778,16,1,21.0599995,26.1075935,0.0256369207,-0.037334435,6.587295957E-06,3.0000000000e+01,1.56700003,1
778116100012244,56944913,2458323.946531664,58323.449131900000,19.5339642,0.0768983811,0,zg,55.197617200000000,57.955871300000000,0.744000018,-0.07900000,20180724449132,778,16,1,21.0699997,26.0531521,0.0278077628,-0.032453913,7.656994057E-06,3.0000000000e+01,1.70400000,1
778116100012244,57144780,2458325.945327993,58325.447800900000,19.3765697,0.0697260126,0,zg,55.197489200000000,57.955863700000000,0.544000030,0.19200000,20180726447755,778,16,1,19.4899998,26.0045338,0.0509222597,-0.023477014,3.073818880E-05,3.0000000000e+01,1.67100000,1
778116100012244,57248787,2458326.985464954,58326.487870400000,19.7237320,0.0865870118,0,zg,55.197488400000000,57.955795700000000,0.737999976,-0.03900000,20180727487836,778,16,1,19.9500008,25.5383053,0.0518051162,-0.058599744,2.800102993E-05,3.0000000000e+01,1.39600003,1
778116100012244,57349207,2458327.989732203,58327.492071800000,19.7349167,0.0871941596,0,zg,55.197710700000000,57.955815400000000,0.442999989,0.10900000,20180728491968,778,16,1,19.8999996,25.7922859,0.0444610715,-0.057259925,2.128448796E-05,3.0000000000e+01,1.36300004,1
778116100012244,57547292,2458329.970720578,58329.472928200000,19.5353832,0.0769665390,0,zg,55.197661500000000,57.955815100000000,0.990999997,-0.18300000,20180730472859,778,16,1,20.2399998,26.0667973,0.0367031246,-0.038182028,1.344114753E-05,3.0000000000e+01,1.43099999,1
778116100012244,57649379,2458330.991657741,58330.493796300000,19.7548847,0.0882881880,0,zg,55.197798100000000,57.955866700000000,0.395999998,-0.22499999,20180731493796,778,16,1,19.7700005,26.0134258,0.0424929410,-0.014634862,1.882790275E-05,3.0000000000e+01,1.32000005,1
