oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
778216100021253,54948119,2458303.9775126890,58303.4811921,18.4276791,0.0351281501,0,zr,55.197503700000000,57.955796600000000,0.893999994,-0.111000001,20180704481181,778,16,1,19.7700005,26.0073376,0.0259145554,0.0873240083,7.077472219E-06,3.0000000000e+01,1.92299998,1
778216100021253,55844829,2458312.9450568235,58312.4482986,18.4367313,0.0353255048,0,zr,55.197585100000000,57.955810000000000,0.745999992,0.039999999,20180713448264,778,16,1,20.8600006,25.8153419,0.0196571667,0.0937702283,3.985616786E-06,3.0000000000e+01,2.02200007,1
778216100021253,56247195,2458316.9689365234,58316.4719560,18.7157593,0.0422262587,32768,zr,55.197597400000000,57.955808100000000,0.778999984,-0.032000002,20180717471944,778,16,1,20.7900009,25.7222004,0.1069119647,0.0347108468,1.124970659E-04,3.0000000000e+01,1.67299998,1
778216100021253,56547655,2458319.9737069600,58319.4765509,18.4282837,0.0351412781,0,zr,55.197572000000000,57.955833900000000,1.544999957,-0.052999999,20180720476551,778,16,1,21.0900002,26.0349236,0.0179617144,0.0912932754,3.372357014E-06,3.0000000000e+01,1.57700002,1
778216100021253,56749087,2458321.9881576495,58321.4908796,18.4658470,0.0359709188,0,zr,55.197591100000000,57.955839200000000,0.462000012,-0.006000000,20180722490775,778,16,1,20.5900002,26.0715237,0.0186513625,0.0891759023,3.605304073E-06,3.0000000000e+01,1.45299995,1
778216100021253,56949313,2458323.9905391606,58323.4931366,18.4375648,0.0353437774,0,zr,55.197600100000000,57.955819700000000,0.442000002,0.037999999,20180724493125,778,16,1,20.5100002,26.0629387,0.0179100353,0.0901615769,3.254840522E-06,3.0000000000e+01,1.41100001,1
778216100021253,57049216,2458324.9896302580,58324.4921644,18.4443569,0.0354929864,0,zr,55.197562600000000,57.955833100000000,0.838999987,-0.039000001,20180725492164,778,16,1,20.5900002,26.0284157,0.0177361052,0.0903402194,3.117258530E-06,3.0000000000e+01,1.40199995,1
778216100021253,57148637,2458325.9839068970,58325.4863773,18.4714851,0.0360977948,0,zr,55.197599400000000,57.955842100000000,0.875999987,-0.035999998,20180726486377,778,16,1,20.2500000,26.0321846,0.0196536332,0.0934064835,4.005119081E-06,3.0000000000e+01,1.41799998,1
778216100021253,57442373,2458328.9214605093,58328.4237384,18.3050175,0.0326010622,0,zr,55.197538700000000,57.955823700000000,0.243000001,-0.083999999,20180729423727,778,16,1,19.4400005,25.6534824,0.0309718288,0.0901532099,9.906496416E-06,3.0000000000e+01,1.81200004,1
778216100021253,57548972,2458329.9875157220,58329.4897222,18.4527054,0.0356775932,0,zr,55.197557900000000,57.955831100000000,1.202000022,-0.007000000,20180730489687,778,16,1,20.5300007,26.0579090,0.0170741659,0.0822841972,2.951803708E-06,3.0000000000e+01,1.34899998,1
